Node,Is Injection,Is Hvdc,Bus Id,Location Name,Load Area,Island Name,Region,Generation Type
KIK0111,F,F,KIK0111,KIK,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
KIN0111,F,F,KIN0111,KIN,Bay of Plenty,North Island,Bay Of Plenty,Load
KIN0112 MCY0,T,F,KIN0112,KIN,Bay of Plenty,North Island,Bay Of Plenty,Cogen
KIN0112 ECZ0,T,F,KIN0112,KIN,Bay of Plenty,North Island,Bay Of Plenty,Cogen
KIN0112,F,F,KIN0112,KIN,Bay of Plenty,North Island,Bay Of Plenty,Load
KIN0112 KIN0,T,F,KIN0112,KIN,Bay of Plenty,North Island,Bay Of Plenty,Cogen
KIN0331,F,F,KIN0331,KIN,Bay of Plenty,North Island,Bay Of Plenty,Load
KKA0331,F,F,KKA0331,KKA,Canterbury,South Island,Canterbury,Load
KOE0331 NGA0,T,F,KOE0331,KOE,Northland,North Island,North Isthmus,Geothermal
KOE0331,F,F,KOE0331,KOE,Northland,North Island,North Isthmus,Load
KOE1101,F,F,KOE1101,KOE,Northland,North Island,North Isthmus,Load
KPA1101,F,F,KPA1101,KPA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
KPA1101 KPI1,T,F,KPA1101,KPA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
KPO1101 KPO0,T,F,KPO1101,KPO,Waikato Taupo King Country,North Island,Waikato,Hydro
KPO1101,F,F,KPO1101,KPO,Waikato Taupo King Country,North Island,Waikato,Load
KPU0661,F,F,KPU0661,KPU,Waikato Taupo King Country,North Island,Waikato,Load
KTA0331,F,F,KTA0331,KTA,Northland,North Island,North Isthmus,Load
KUM0661 KUM0,T,F,KUM0661,KUM,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Hydro
KUM0661,F,F,KUM0661,KUM,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
KWA0111,F,F,KWA0111,KWA,Wellington,North Island,Wellington,Load
LFD1101 LFD0,T,F,LFD1101,LFD,Bay of Plenty,North Island,Bay Of Plenty,Load
LFD1101,F,F,LFD1101,LFD,Bay of Plenty,North Island,Bay Of Plenty,Load
LFD1102,F,F,LFD1102,LFD,Bay of Plenty,North Island,Bay Of Plenty,Load
LTN0331 TWF0,T,F,LTN0331,LTN,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Wind
LTN0331,F,F,LTN0331,LTN,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Load
MAN2201 MAN9,T,F,MAN2201,MAN,Southland Otago,South Island,Otago/Southland,Hydro
MAN2201 MAN0,T,F,MAN2201,MAN,Southland Otago,South Island,Otago/Southland,Hydro
MAN2201,F,F,MAN2201,MAN,Southland Otago,South Island,Otago/Southland,Load
MAT1101 ANI7,T,F,MAT1101,MAT,Bay of Plenty,North Island,Bay Of Plenty,Hydro
MAT1101 MAT0,T,F,MAT1101,MAT,Bay of Plenty,North Island,Bay Of Plenty,Hydro
MAT1101 ANI0,T,F,MAT1101,MAT,Bay of Plenty,North Island,Bay Of Plenty,Hydro
MAT1101,F,F,MAT1101,MAT,Bay of Plenty,North Island,Bay Of Plenty,Load
MCH0111,F,F,MCH0111,MCH,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
MDN0141 MNA9,T,F,MDN0141,MDN,Northland,North Island,North Isthmus,Oil
MDN0141 MDN1,T,F,MDN0141,MDN,Northland,North Island,North Isthmus,Oil
MDN0141 MDN0,T,F,MDN0141,MDN,Northland,North Island,North Isthmus,Oil
MDN0141,F,F,MDN0141,MDN,Northland,North Island,North Isthmus,Load
MDN0142 MDN0,T,F,MDN0142,MDN,Northland,North Island,North Isthmus,Oil
MDN0142,F,F,MDN0142,MDN,Northland,North Island,North Isthmus,Load
MDN1101 MNB9,T,F,MDN1101,MDN,Northland,North Island,North Isthmus,Oil
MDN1101,F,F,MDN1101,MDN,Northland,North Island,North Isthmus,Load
MER0331,F,F,MER0331,MER,Auckland,North Island,Auckland,Load
MER1101 MER0,T,F,MER1101,MER,Auckland,North Island,Auckland,Load
MER1101,F,F,MER1101,MER,Auckland,North Island,Auckland,Load
MGM0331,F,F,MGM0331,MGM,Hawkes' Bay East Coast Wairarapa,North Island,Central,Load
MHO0331 MHO0,T,F,MHO0331,MHO,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Hydro
MHO0331,F,F,MHO0331,MHO,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Load
MHO0331 MGO0,T,F,MHO0331,MHO,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Hydro
MLG0111,F,F,MLG0111,MLG,Wellington,North Island,Wellington,Load
MLG0331,F,F,MLG0331,MLG,Wellington,North Island,Wellington,Load
MNG0331,F,F,MNG0331,MNG,Auckland,North Island,Auckland,Load
MNG1101,F,F,MNG1101,MNG,Auckland,North Island,Auckland,Load
MNI0111,F,F,MNI0111,MNI,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
MOT0111,F,F,MOT0111,MOT,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
MPE0331,F,F,MPE0331,MPE,Northland,North Island,North Isthmus,Load
MPI0331,F,F,MPI0331,MPI,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
MPI0661,F,F,MPI0661,MPI,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
MRA0111,F,F,MRA0111,MRA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
MST0331,F,F,MST0331,MST,Hawkes' Bay East Coast Wairarapa,North Island,Wellington,Load
MTI2201 MTI0,T,F,MTI2201,MTI,Waikato Taupo King Country,North Island,Waikato,Hydro
MTI2201,F,F,MTI2201,MTI,Waikato Taupo King Country,North Island,Waikato,Hydro
MTM0111,F,F,MTM0111,MTM,Bay of Plenty,North Island,Bay Of Plenty,Load
MTM0331,F,F,MTM0331,MTM,Bay of Plenty,North Island,Bay Of Plenty,Load
MTN0331,F,F,MTN0331,MTN,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Load
MTO0331,F,F,MTO0331,MTO,Northland,North Island,North Isthmus,Load
MTR0331,F,F,MTR0331,MTR,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Load
NMA0331 WHL0,T,F,NMA0331,NMA,Southland Otago,South Island,Otago/Southland,Wind
NMA0331 MON0,T,F,NMA0331,NMA,Southland Otago,South Island,Otago/Southland,Hydro
NMA0331,F,F,NMA0331,NMA,Southland Otago,South Island,Otago/Southland,Load
NPK0331,F,F,NPK0331,NPK,Waikato Taupo King Country,North Island,Central,Load
NPL0331,F,F,NPL0331,NPL,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
NPL1101 NPL2,T,F,NPL1101,NPL,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
NPL1101 NPL1,T,F,NPL1101,NPL,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
