Trading Date,Mean Stored,Daily Stored
16Jun35,2799,3141.986
17Jun35,2796,3129.701
18Jun35,2794,3117.415
19Jun35,2792,3105.614
20Jun35,2789,3093.812
21Jun35,2787,3082.011
22Jun35,2784,3074.724
23Jun35,2782,3071.95
24Jun35,2779,3069.178
25Jun35,2776,3066.404
26Jun35,2773,3056.257
27Jun35,2769,3046.111
28Jun35,2764,3035.964
29Jun35,2760,3025.984
30Jun35,2754,3016.169
01Jul35,2748,3006.354
02Jul35,2742,2996.539
03Jul35,2735,2973.603
04Jul35,2727,2950.666
05Jul35,2719,2927.73
06Jul35,2711,2908.334
07Jul35,2702,2892.479
08Jul35,2692,2876.623
09Jul35,2683,2860.768
10Jul35,2672,2838.07
11Jul35,2662,2815.372
12Jul35,2651,2792.674
13Jul35,2640,2775.642
14Jul35,2629,2764.275
15Jul35,2618,2752.908
16Jul35,2607,2741.541
17Jul35,2596,2742.869
18Jul35,2585,2744.198
19Jul35,2574,2745.526
20Jul35,2563,2741.376
21Jul35,2553,2731.748
22Jul35,2542,2722.12
23Jul35,2532,2712.492
24Jul35,2521,2696.952
25Jul35,2511,2681.411
26Jul35,2501,2665.871
27Jul35,2490,2650.319
28Jul35,2480,2634.757
29Jul35,2470,2619.196
30Jul35,2460,2603.634
31Jul35,2450,2589.603
01Aug35,2441,2575.573
02Aug35,2431,2561.542
03Aug35,2422,2562.229
04Aug35,2413,2577.631
05Aug35,2405,2593.033
06Aug35,2396,2608.436
07Aug35,2388,2612.724
08Aug35,2380,2617.013
09Aug35,2372,2621.301
10Aug35,2365,2625.38
11Aug35,2358,2629.252
12Aug35,2351,2633.123
13Aug35,2345,2636.994
14Aug35,2338,2632.425
15Aug35,2332,2627.856
16Aug35,2326,2623.287
17Aug35,2320,2620.826
18Aug35,2313,2620.472
19Aug35,2306,2620.119
20Aug35,2299,2619.765
21Aug35,2292,2613.842
22Aug35,2285,2607.919
23Aug35,2277,2601.996
24Aug35,2270,2594.361
25Aug35,2263,2585.015
26Aug35,2255,2575.669
27Aug35,2248,2566.323
28Aug35,2241,2561.102
29Aug35,2234,2555.88
30Aug35,2227,2550.659
31Aug35,2221,2540.905
01Sep35,2215,2526.618
02Sep35,2210,2512.332
03Sep35,2205,2498.046
04Sep35,2200,2475.895
05Sep35,2197,2453.744
06Sep35,2194,2431.593
07Sep35,2191,2413.635
08Sep35,2189,2399.867
09Sep35,2188,2386.1
10Sep35,2186,2372.332
11Sep35,2185,2354.532
12Sep35,2185,2336.732
13Sep35,2184,2318.932
14Sep35,2184,2304.414
15Sep35,2185,2293.177
16Sep35,2186,2281.941
17Sep35,2187,2270.704
18Sep35,2188,2257.341
19Sep35,2190,2243.977
20Sep35,2193,2230.614
21Sep35,2195,2217.288
22Sep35,2198,2203.999
23Sep35,2202,2190.711
24Sep35,2206,2177.422
25Sep35,2210,2162.728
26Sep35,2215,2148.033
27Sep35,2221,2133.339
28Sep35,2227,2124.106
29Sep35,2233,2120.337
30Sep35,2240,2116.567
01Oct35,2248,2112.797
02Oct35,2256,2125.133
03Oct35,2264,2137.468
04Oct35,2272,2149.803
05Oct35,2281,2174.555
06Oct35,2289,2211.724
07Oct35,2298,2248.893
08Oct35,2307,2286.062
09Oct35,2317,2299.916
10Oct35,2326,2313.77
11Oct35,2335,2327.624
12Oct35,2344,2346.222
13Oct35,2353,2369.564
14Oct35,2362,2392.905
15Oct35,2370,2416.247
16Oct35,2379,2395.327
17Oct35,2387,2374.406
18Oct35,2396,2353.485
19Oct35,2404,2339.92
20Oct35,2413,2333.709
21Oct35,2421,2327.498
22Oct35,2429,2321.287
23Oct35,2437,2311.003
24Oct35,2444,2300.718
25Oct35,2452,2290.434
26Oct35,2459,2283.992
27Oct35,2466,2281.392
28Oct35,2473,2278.792
29Oct35,2479,2276.192
30Oct35,2486,2272.292
31Oct35,2493,2268.392
01Nov35,2499,2264.492
02Nov35,2506,2264.817
03Nov35,2512,2269.365
04Nov35,2519,2273.914
05Nov35,2526,2278.463
06Nov35,2533,2271.512
07Nov35,2540,2264.56
08Nov35,2548,2257.609
09Nov35,2556,2254.184
10Nov35,2564,2254.285
11Nov35,2573,2254.387
12Nov35,2582,2254.488
13Nov35,2591,2242.366
14Nov35,2600,2230.244
15Nov35,2610,2218.122
16Nov35,2620,2218.067
17Nov35,2630,2230.078
18Nov35,2640,2242.089
19Nov35,2650,2254.1
20Nov35,2660,2254.565
21Nov35,2670,2255.03
22Nov35,2679,2255.495
23Nov35,2689,2261.703
24Nov35,2698,2273.654
25Nov35,2707,2285.605
26Nov35,2716,2297.556
27Nov35,2725,2294.901
28Nov35,2735,2292.246
29Nov35,2744,2289.591
30Nov35,2753,2286.717
01Dec35,2763,2283.624
02Dec35,2773,2280.531
03Dec35,2783,2277.438
04Dec35,2794,2271.31
05Dec35,2804,2265.183
06Dec35,2816,2259.055
07Dec35,2827,2261.421
08Dec35,2838,2272.28
09Dec35,2850,2283.139
10Dec35,2863,2293.998
11Dec35,2875,2301.024
12Dec35,2888,2308.049
13Dec35,2901,2315.074
14Dec35,2915,2329.809
15Dec35,2928,2352.252
16Dec35,2942,2374.695
17Dec35,2956,2397.138
18Dec35,2971,2404.759
19Dec35,2986,2412.381
20Dec35,3001,2420.002
21Dec35,3017,2429.388
22Dec35,3034,2440.537
23Dec35,3051,2451.687
24Dec35,3069,2462.836
25Dec35,3087,2480.327
26Dec35,3105,2497.818
27Dec35,3124,2515.309
28Dec35,3143,2540.704
29Dec35,3163,2574.005
30Dec35,3183,2607.305
31Dec35,3202,2640.606
01Jan36,3222,2642.042
02Jan36,3241,2643.479
03Jan36,3260,2644.916
04Jan36,3278,2643.982
05Jan36,3295,2640.678
06Jan36,3312,2637.373
07Jan36,3327,2634.069
08Jan36,3341,2628.527
09Jan36,3355,2622.985
10Jan36,3367,2617.443
11Jan36,3379,2615.855
12Jan36,3388,2618.225
13Jan36,3397,2620.594
14Jan36,3404,2622.963
15Jan36,3410,2637.945
16Jan36,3415,2652.927
17Jan36,3418,2667.908
18Jan36,3421,2694.857
19Jan36,3423,2733.772
20Jan36,3424,2772.688
21Jan36,3425,2811.603
22Jan36,3425,2798.833
23Jan36,3424,2786.063
24Jan36,3423,2773.294
